symbol,date,open,high,low,close,volume,SMA,EMA,MACD,RSI,BBANDS Upper,BBANDS Lower,ATR,VWAP
AAPL,2024-05-28,191.51,193.0,189.1,189.99,52280051,184.4302,184.8461,,62.1548,197.924,170.9364,3.3632,
AMZN,2024-05-28,179.93,182.24,179.49,182.15,29926963,,,,,,,,
GOOGL,2024-05-28,174.45,177.27,174.365,176.4,20572157,170.8826,170.7276,,64.6056,179.4875,162.2778,3.5863,
MSFT,2024-05-28,429.63,430.82,426.6,430.32,15718024,414.6745,419.0863,,60.1202,438.6944,390.6546,7.064,
TSLA,2024-05-28,176.4,178.25,173.16,176.75,59736620,177.466,175.774,,50.7812,186.3753,168.5567,7.9397,
AAPL,2024-05-29,189.61,192.247,189.51,190.29,53068016,185.4387,185.3438,,62.4631,197.3621,173.5152,3.3317,
AMZN,2024-05-29,181.7,184.08,181.55,182.02,32009294,,,,,,,,
GOOGL,2024-05-29,175.43,176.836,174.72,175.9,23388693,171.537,171.1786,,63.7552,179.4144,163.6596,3.5126,
MSFT,2024-05-29,425.69,430.94,425.69,429.17,15517130,416.6973,419.974,,59.1608,438.0389,395.3557,6.9728,
TSLA,2024-05-29,174.19,178.15,173.93,176.19,54782649,177.1115,175.8136,,50.482,185.6226,168.6004,7.7537,
AAPL,2024-05-30,190.76,192.18,190.63,191.29,49947941,186.5484,185.8892,,63.5061,195.9672,177.1296,3.2595,
AMZN,2024-05-30,181.31,181.34,178.355,179.32,29249229,,,,,,,,
GOOGL,2024-05-30,175.2,175.22,171.79,172.11,22958677,171.9485,171.2266,,57.6955,178.8991,164.9979,3.5419,
MSFT,2024-05-30,424.3,424.3,414.24,414.67,28424847,417.7169,419.3986,,48.8213,436.3068,399.1271,7.3694,
TSLA,2024-05-30,178.575,182.67,175.38,178.79,77784755,177.0515,176.0971,,51.8678,185.4972,168.6058,7.7305,
AAPL,2024-05-31,191.44,192.57,189.91,192.25,75158277,187.5201,186.4739,,64.5028,194.7319,180.3084,3.2294,
AMZN,2024-05-31,178.3,179.21,173.87,176.44,58903939,,,,,,,,
GOOGL,2024-05-31,171.86,173.06,169.44,172.5,37638876,172.2418,171.3071,,58.1266,178.6741,165.8094,3.5454,
MSFT,2024-05-31,416.75,416.75,404.51,415.13,47995250,418.615,418.9218,,49.1182,434.5505,402.6796,7.6118,
TSLA,2024-05-31,178.5,180.32,173.82,178.08,67314602,176.955,176.286,,51.4539,185.3069,168.6031,7.669,
AAPL,2024-06-03,192.9,194.99,192.52,194.03,50080539,188.0645,187.1723,,66.2992,195.4467,180.6823,3.2048,
AMZN,2024-06-03,177.7,178.7,175.92,178.34,30786640,,,,,,,,
GOOGL,2024-06-03,172.54,174.525,171.16,173.17,27459118,172.5375,171.4435,,58.8842,178.471,166.6041,3.5359,
MSFT,2024-06-03,415.525,416.43,408.9234,413.52,17484675,418.9934,418.3373,,48.0902,433.969,404.0177,7.6059,
TSLA,2024-06-03,178.13,182.6389,174.49,176.29,68568920,176.71,176.2863,,50.3868,184.835,168.585,7.693,
AAPL,2024-06-04,194.635,195.32,193.0342,194.35,47471445,188.7081,187.8347,,66.6188,195.8435,181.5728,3.1587,
AMZN,2024-06-04,177.64,179.82,176.44,179.34,27198388,,,,,,,,
GOOGL,2024-06-04,173.28,173.845,171.89,173.79,26879596,172.8213,171.6259,,59.5964,178.3263,167.3163,3.4566,
MSFT,2024-06-04,412.43,416.44,409.675,416.07,14348917,419.1562,418.0509,,49.8405,433.8964,404.4159,7.5632,
TSLA,2024-06-04,174.775,177.755,174.0,174.77,60056340,176.2105,176.1419,,49.4697,183.4775,168.9435,7.4961,
AAPL,2024-06-05,195.4,196.9,194.87,195.87,54156785,189.3933,188.5785,,68.1304,196.4292,182.3574,3.1281,
AMZN,2024-06-05,180.1,181.5,178.75,181.28,32116394,,,,,,,,
GOOGL,2024-06-05,175.2,176.645,173.9339,175.41,22068519,173.0288,171.9448,,61.4336,178.5299,167.5277,3.4262,
MSFT,2024-06-05,417.81,424.08,416.3,424.01,16988038,419.9245,418.5466,,54.8321,433.8128,406.0362,7.5849,
TSLA,2024-06-05,175.35,176.15,172.13,175.0,57953756,176.07,176.0332,,49.6158,183.3165,168.8235,7.3223,
AAPL,2024-06-06,195.685,196.5,194.17,194.48,41181753,189.9921,189.1193,,65.2847,196.5254,183.4587,3.0881,
AMZN,2024-06-06,181.745,185.0,181.49,185.0,31371151,,,,,,,,
GOOGL,2024-06-06,175.895,177.15,175.75,176.73,23251013,173.3954,172.3588,,62.8813,178.7378,168.053,3.3417,
MSFT,2024-06-06,424.01,425.31,420.58,424.52,14861251,420.6585,419.0436,,55.134,433.7038,407.6132,7.4417,
TSLA,2024-06-06,174.6,179.73,172.73,177.94,69887024,176.231,176.2148,,51.502,183.4935,168.9685,7.3062,
AAPL,2024-06-07,194.65,196.94,194.14,196.89,53103912,190.6199,189.8379,,67.7436,197.1837,184.0562,3.0735,
AMZN,2024-06-07,184.9,186.2888,183.36,184.3,28021473,,,,,,,,
GOOGL,2024-06-07,177.05,177.87,174.3,174.46,19661399,173.6198,172.5176,,58.8804,178.664,168.5756,3.3527,
MSFT,2024-06-07,426.2,426.28,423.0,423.85,13621650,421.2704,419.4296,,54.6291,433.5449,408.996,7.2333,
TSLA,2024-06-07,176.13,179.35,175.58,177.48,56244932,176.5065,176.3353,,51.1864,183.5151,169.4979,7.1293,
AAPL,2024-06-10,196.9,197.3,192.15,193.12,97262077,191.1228,190.1293,,60.6679,196.6909,185.5548,3.177,
AMZN,2024-06-10,184.07,187.23,183.79,187.06,34494498,,,,,,,,
GOOGL,2024-06-10,174.97,177.06,172.76,175.01,23779218,173.947,172.7326,,59.7706,178.3601,169.5339,3.3997,
MSFT,2024-06-10,424.7,428.08,423.89,427.87,14003034,421.9624,420.161,,57.1098,433.9108,410.014,7.0828,
TSLA,2024-06-10,176.06,178.57,173.17,173.79,50869682,176.7725,176.0929,,48.6681,182.8877,170.6573,7.0429,
AAPL,2024-06-11,193.65,207.16,193.63,207.15,172373296,192.1652,191.7277,,72.0883,200.6153,183.715,3.7194,
AMZN,2024-06-11,187.06,187.77,184.5373,187.23,27265108,,,,,,,,
GOOGL,2024-06-11,176.22,176.84,173.7701,176.62,21540582,174.3301,173.0802,,61.6489,178.1525,170.5078,3.383,
MSFT,2024-06-11,425.475,432.82,425.25,432.68,14551101,422.9452,421.28,,59.8732,434.7707,411.1198,7.1065,
TSLA,2024-06-11,173.92,174.75,167.41,170.66,64761928,176.711,175.5755,,46.6201,183.0423,170.3797,7.0577,
AAPL,2024-06-12,207.37,220.2,206.9,213.07,198134293,193.4457,193.737,,75.2768,205.5003,181.3911,4.1976,
AMZN,2024-06-12,188.015,188.35,185.43,186.89,33984216,,,,,,,,
GOOGL,2024-06-12,178.25,180.41,176.11,177.79,27864737,174.7119,173.5061,,62.9713,178.2058,171.2179,3.4286,
MSFT,2024-06-12,435.32,443.4,433.25,441.06,22366233,424.2048,423.0891,,64.1133,437.666,410.7437,7.2862,
TSLA,2024-06-12,171.12,180.55,169.8,177.29,90389446,176.698,175.7387,,51.199,183.0235,170.3725,7.2424,
AAPL,2024-06-13,214.74,216.75,211.6,214.24,97862729,194.6703,195.6662,,75.8507,209.5246,179.8159,4.245,
AMZN,2024-06-13,186.09,187.67,182.666,183.83,39721545,,,,,,,,
GOOGL,2024-06-13,176.11,176.74,174.88,175.16,20913299,174.854,173.6412,,58.2209,178.133,171.575,3.4025,
MSFT,2024-06-13,440.85,443.39,439.37,441.58,15960565,425.1282,424.7754,,64.3593,440.3641,409.8923,7.1225,
TSLA,2024-06-13,188.39,191.08,181.23,182.47,118984122,177.122,176.3798,,54.4148,183.792,170.452,7.5697,
AAPL,2024-06-14,213.85,215.17,211.3,212.49,70122748,195.8015,197.2453,,73.1762,212.3005,179.3024,4.226,
AMZN,2024-06-14,183.08,183.72,182.23,183.66,25456410,,,,,,,,
GOOGL,2024-06-14,174.22,177.0623,174.15,176.79,18063555,174.9943,173.9184,,60.1806,178.3117,171.6768,3.3778,
MSFT,2024-06-14,438.275,443.1376,436.721,442.57,13581985,426.2053,426.3951,,64.8423,442.8844,409.5262,7.0867,
TSLA,2024-06-14,185.8,186.0,176.92,178.01,82038194,177.2805,176.5351,,51.3481,183.8763,170.6847,7.6452,
AAPL,2024-06-17,213.37,218.95,212.72,216.67,93728300,197.1399,199.0716,,75.3606,215.6474,178.6325,4.3373,
AMZN,2024-06-17,182.52,185.0,181.22,184.06,35601907,,,,,,,,
GOOGL,2024-06-17,175.46,178.36,174.81,177.24,19618497,175.0632,174.2121,,60.7161,178.4857,171.6407,3.3861,
MSFT,2024-06-17,442.585,450.94,440.72,448.37,20790030,427.6108,428.4121,,67.5538,446.3861,408.8355,7.2424,
TSLA,2024-06-17,177.92,188.81,177.0,187.44,109786083,177.7795,177.5736,,56.7705,185.7259,169.8331,7.8535,
